x,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
0.0,0.0,power,1,1,,,1.csv,I,P,1,,,,1.4,,
0.990479002,1.859724011,power,1,1,,,1.csv,I,P,1,,,,1.4,,
1.982229111,3.227744447,power,1,1,,,1.csv,I,P,1,,,,1.4,,
2.996162078,4.07610085,power,1,1,,,1.csv,I,P,1,,,,1.4,,
3.965975349,4.392052386,power,1,1,,,1.csv,I,P,1,,,,1.4,,
5.001681141,4.292472854,power,1,1,,,1.csv,I,P,1,,,,1.4,,
6.004461174,3.634038111,power,1,1,,,1.csv,I,P,1,,,,1.4,,
6.996293289,2.43821174,power,1,1,,,1.csv,I,P,1,,,,1.4,,
7.999196333,0.674520762,power,1,1,,,1.csv,I,P,1,,,,1.4,,
0.0,0.0,power,2,2,,,2.csv,I,P,3,,,,1.4,,
1.004666191,1.593969676,power,2,2,,,2.csv,I,P,3,,,,1.4,,
2.018394141,2.699244843,power,2,2,,,2.csv,I,P,3,,,,1.4,,
2.96622957,3.216279651,power,2,2,,,2.csv,I,P,3,,,,1.4,,
4.013088297,3.291353746,power,2,2,,,2.csv,I,P,3,,,,1.4,,
5.004920412,2.819933897,power,2,2,,,2.csv,I,P,3,,,,1.4,,
6.007823456,1.797873477,power,2,2,,,2.csv,I,P,3,,,,1.4,,
7.010603489,0.324397292,power,2,2,,,2.csv,I,P,3,,,,1.4,,
0.0,0.0,power,3,3,,,3.csv,I,P,5,,,,1.4,,
1.018238328,1.376151092,power,3,3,,,3.csv,I,P,5,,,,1.4,,
1.988092602,2.176490303,power,3,3,,,3.csv,I,P,5,,,,1.4,,
3.001820553,2.538097976,power,3,3,,,3.csv,I,P,5,,,,1.4,,
4.004805603,2.298277804,power,3,3,,,3.csv,I,P,5,,,,1.4,,
5.040593402,1.598827235,power,3,3,,,3.csv,I,P,5,,,,1.4,,
6.02160061,0.274189464,power,3,3,,,3.csv,I,P,5,,,,1.4,,
0.0,0.0,power,4,4,,,4.csv,I,P,7,,,,1.4,,
1.0322205,1.113894256,power,4,4,,,4.csv,I,P,7,,,,1.4,,
2.023847598,1.702173984,power,4,4,,,4.csv,I,P,7,,,,1.4,,
3.015679714,1.762169821,power,4,4,,,4.csv,I,P,7,,,,1.4,,
4.01825473,1.406427051,power,4,4,,,4.csv,I,P,7,,,,1.4,,
5.010332866,0.355227797,power,4,4,,,4.csv,I,P,7,,,,1.4,,
0.0,0.0,power,5,5,,,5.csv,I,P,9,,,,1.4,,
1.034639703,0.888731586,power,5,5,,,5.csv,I,P,9,,,,1.4,,
1.993300039,1.237612746,power,5,5,,,5.csv,I,P,9,,,,1.4,,
3.018098917,1.099156673,power,5,5,,,5.csv,I,P,9,,,,1.4,,
4.02087895,0.447143528,power,5,5,,,5.csv,I,P,9,,,,1.4,,
0.0,0.0,power,6,6,,,6.csv,I,P,11,,,,1.4,,
0.519431528,0.385896464,power,6,6,,,6.csv,I,P,11,,,,1.4,,
0.971043373,0.627529842,power,6,6,,,6.csv,I,P,11,,,,1.4,,
1.522006544,0.774083884,power,6,6,,,6.csv,I,P,11,,,,1.4,,
2.017943104,0.7635239,power,6,6,,,6.csv,I,P,11,,,,1.4,,
2.535898508,0.619838471,power,6,6,,,6.csv,I,P,11,,,,1.4,,
3.009693212,0.388574024,power,6,6,,,6.csv,I,P,11,,,,1.4,,
3.527525607,0.022433768,power,6,6,,,6.csv,I,P,11,,,,1.4,,
0.0,0.0,power,7,7,,,7.csv,I,P,13,,,,1.4,,
0.533044669,0.268721115,power,7,7,,,7.csv,I,P,13,,,,1.4,,
1.006716363,0.402687371,power,7,7,,,7.csv,I,P,13,,,,1.4,,
1.513641843,0.408353487,power,7,7,,,7.csv,I,P,13,,,,1.4,,
1.998671489,0.263993262,power,7,7,,,7.csv,I,P,13,,,,1.4,,
2.51646288,0.032884621,power,7,7,,,7.csv,I,P,13,,,,1.4,,
0.0,2.123121018,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
0.990479002,1.877600643,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
1.982229111,1.628340755,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
2.996162078,1.360440705,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
3.965975349,1.107433103,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
5.001681141,0.858206018,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
6.004461174,0.605223018,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
6.996293289,0.348500504,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
7.999196333,0.084323566,voltage,1,1,,,1.csv,I,V,0,,,,1.4,,
0.0,1.820892891,voltage,2,2,,,2.csv,I,V,2,,,,1.4,,
1.004666191,1.586566454,voltage,2,2,,,2.csv,I,V,2,,,,1.4,,
2.018394141,1.337322968,voltage,2,2,,,2.csv,I,V,2,,,,1.4,,
2.96622957,1.084298964,voltage,2,2,,,2.csv,I,V,2,,,,1.4,,
4.013088297,0.820154829,voltage,2,2,,,2.csv,I,V,2,,,,1.4,,
5.004920412,0.563432316,voltage,2,2,,,2.csv,I,V,2,,,,1.4,,
6.007823456,0.299255378,voltage,2,2,,,2.csv,I,V,2,,,,1.4,,
7.010603489,0.046272378,voltage,2,2,,,2.csv,I,V,2,,,,1.4,,
0.0,1.58210528,voltage,3,3,,,3.csv,I,V,4,,,,1.4,,
1.018238328,1.351501956,voltage,3,3,,,3.csv,I,V,4,,,,1.4,,
1.988092602,1.094763041,voltage,3,3,,,3.csv,I,V,4,,,,1.4,,
3.001820553,0.845519555,voltage,3,3,,,3.csv,I,V,4,,,,1.4,,
4.004805603,0.573879991,voltage,3,3,,,3.csv,I,V,4,,,,1.4,,
5.040593402,0.317190281,voltage,3,3,,,3.csv,I,V,4,,,,1.4,,
6.02160061,0.045534316,voltage,3,3,,,3.csv,I,V,4,,,,1.4,,
0.0,1.317173879,voltage,4,4,,,4.csv,I,V,6,,,,1.4,,
1.0322205,1.079124331,voltage,4,4,,,4.csv,I,V,6,,,,1.4,,
2.023847598,0.841058381,voltage,4,4,,,4.csv,I,V,6,,,,1.4,,
3.015679714,0.584335867,voltage,4,4,,,4.csv,I,V,6,,,,1.4,,
4.01825473,0.350009431,voltage,4,4,,,4.csv,I,V,6,,,,1.4,,
5.010332866,0.070899041,voltage,4,4,,,4.csv,I,V,6,,,,1.4,,
0.0,1.100741342,voltage,5,5,,,5.csv,I,V,8,,,,1.4,,
1.034639703,0.858976882,voltage,5,5,,,5.csv,I,V,8,,,,1.4,,
1.993300039,0.62088633,voltage,5,5,,,5.csv,I,V,8,,,,1.4,,
3.018098917,0.364188419,voltage,5,5,,,5.csv,I,V,8,,,,1.4,,
4.02087895,0.111205419,voltage,5,5,,,5.csv,I,V,8,,,,1.4,,
0.0,0.854474705,voltage,6,6,,,6.csv,I,V,10,,,,1.4,,
0.519431528,0.742920757,voltage,6,6,,,6.csv,I,V,10,,,,1.4,,
0.971043373,0.646242855,voltage,6,6,,,6.csv,I,V,10,,,,1.4,,
1.522006544,0.50859432,voltage,6,6,,,6.csv,I,V,10,,,,1.4,,
2.017943104,0.378367407,voltage,6,6,,,6.csv,I,V,10,,,,1.4,,
2.535898508,0.244425583,voltage,6,6,,,6.csv,I,V,10,,,,1.4,,
3.009693212,0.129107519,voltage,6,6,,,6.csv,I,V,10,,,,1.4,,
3.527525607,0.006359633,voltage,6,6,,,6.csv,I,V,10,,,,1.4,,
0.0,0.619410207,voltage,7,7,,,7.csv,I,V,12,,,,1.4,,
0.533044669,0.504124946,voltage,7,7,,,7.csv,I,V,12,,,,1.4,,
1.006716363,0.40000082,voltage,7,7,,,7.csv,I,V,12,,,,1.4,,
1.513641843,0.269782108,voltage,7,7,,,7.csv,I,V,12,,,,1.4,,
1.998671489,0.132084369,voltage,7,7,,,7.csv,I,V,12,,,,1.4,,
2.51646288,0.013067795,voltage,7,7,,,7.csv,I,V,12,,,,1.4,,
