conductivity,S,PF,ZT
1052.628934,395.6919337,1.34529148,0.342857143
2526.118245,373.2526749,3.443946188,0.806722689
4929.099595,334.0786703,5.542600897,1.297478992
9621.058425,302.4805303,8.233183857,1.801680672
10839.52137,278.2773388,8.771300448,1.438655462
13313.15318,263.1934531,7.748878924,1.284033613
14487.7605,231.4030897,9.847533632,1.754621849
15026.56419,281.4151037,11.7309417,1.915966387
18407.71103,205.7243007,9.094170404,1.6
21511.65099,233.0482961,9.739910314,1.653781513
23012.27463,202.7674521,11.30044843,1.431932773
27323.16045,199.7936425,11.13901345,1.357983193
31878.52244,189.2383147,11.13901345,1.458823529
38488.80992,175.6639482,11.67713004,1.357983193
50632.36413,159.0875041,12.16143498,1.183193277
56153.20733,168.2124634,13.61434978,1.028571429
63260.63586,142.494099,11.89237668,0.907563025
92209.97048,113.8301932,10.65470852,0.813445378
103942.051,101.7483852,11.35426009,0.712605042
125478.9988,85.14367288,11.08520179,0.645378151
154184.155,80.66599765,10.43946188,0.457142857