curve_id,nH,S,PF,ZT
300,2.49E+20,107.2990174,7.863636364,0.332674581
300,2.80E+20,99.24635322,9.818181818,0.415040785
300,3.28E+20,97.4062648,10.18181818,0.383420651
300,3.46E+20,90.26757193,9.363636364,0.324212481
300,3.66E+20,87.57727764,9.090909091,0.310657205
300,5.25E+20,73.20272552,7.590909091,0.19271835
300,8.02E+20,60.58324123,6.590909091,0.166244446
300,1.00E+21,58.71886121,5.727272727,0.125525565
300,1.50E+21,41.65705124,5.590909091,0.099025134
750,2.51E+20,244.3066571,9.272727273,1.11744811
750,2.82E+20,232.6952741,11.54545455,1.22260097
750,3.28E+20,225.5201438,11.36363636,1.15453279
750,3.35E+20,210.3864793,11.27272727,1.09999337
750,3.66E+20,207.6840392,11.81818182,1.06335964
750,5.17E+20,179.0806845,12.31818182,0.92271371
750,8.02E+20,142.433775,12,0.654367
750,9.92E+20,120.109798,11.68181818,0.61370117
750,1.50E+21,88.81007615,11.13636364,0.43666026